location,reason,site_id,speed_limit,the_geom
NB 90 St Btwn 132 - 135 Ave,Designated Zone - Playground;,4172,30,"MULTILINESTRING ((-113.47971731579958 53.59212892713766, -113.47971847356415 53.59266616763693, -113.47972718003783 53.59363611764965, -113.47974031494786 53.594386023754105, -113.47974393139486 53.59460030654925, -113.47987638797045 53.595020636315525, -113.48005116242125 53.59535512109301, -113.48042294516708 53.59573012869136))"
91 St SB between 63 - 58 Ave,Higher Frequency of Collisions;,2594,60,"MULTILINESTRING ((-113.46736387873668 53.49981429820265, -113.46736714167432 53.49951187334984, -113.46736518168969 53.497047786002646, -113.46734524365426 53.49391218447119))"
SB 102 St btwn 116 - 114 Ave,Designated Zone - Playground;,4100,30,"MULTILINESTRING ((-113.4955470917493 53.56730074625459, -113.49555594734944 53.565775231659075, -113.49555717137324 53.56423555404031))"
Fort Rd NB between 71 - 68 St,Higher Frequency of Collisions;,2481,50,"MULTILINESTRING ((-113.45073801450201 53.581640573926904, -113.44864938734445 53.58259571302413, -113.44742582471615 53.58315523930362, -113.4466027294391 53.58353454393535, -113.4464134445367 53.583617797660715, -113.44587743329795 53.583853372796845))"
EB 53 Ave btwn Riverbend Rd - Whitemud Dr,Designated Zone - Playground;,4005,30,"MULTILINESTRING ((-113.57733025764568 53.4901808621057, -113.57651369281535 53.490249591610755, -113.57621261219789 53.49027279495597, -113.57583626247616 53.49029579516175, -113.57557422769567 53.49030737449696, -113.57523096994139 53.49031641363276, -113.57476219294038 53.49032473661214, -113.57438634330995 53.49032806084865, -113.5739984741679 53.490328369375305, -113.57348450307042 53.49032973729228))"
WB Beaumaris Rd W of 161 Ave - 109 St,Designated Zone - Playground;,4137,30,"MULTILINESTRING ((-113.50645710565304 53.62108821217086, -113.50667310377504 53.621177168812835, -113.50693326348122 53.62125306807285, -113.50702795391925 53.62128299291559, -113.5071295311221 53.62131014873302, -113.50745475819788 53.62138698151437, -113.50774893578911 53.62144065309143, -113.50834446975583 53.62152066512031, -113.50842120864452 53.62153070213296, -113.50849542120054 53.62153755041378, -113.50970420000648 53.62164910113119))"
50 St NB between Eleniak Rd - 68 Ave,Higher Frequency of Collisions;,2480,60,"MULTILINESTRING ((-113.41810374195981 53.50060375733841, -113.41810344280553 53.50073577979534, -113.41810861846345 53.502258415578154, -113.41811788007898 53.504893910816484))"
SB 50 St between 124 - 122 Ave,Higher Frequency of Speeding; Higher Frequency of Collisions;,2748,50,"MULTILINESTRING ((-113.41839390237206 53.57996479752429, -113.41839330663014 53.579911613740926, -113.41837575915399 53.578344614151234, -113.41837913176971 53.57669916567569))"
WB 161A Ave btwn 74 - 76 St,Designated Zone - Playground;,4126,30,"MULTILINESTRING ((-113.45575456369264 53.622249286110815, -113.45622599107946 53.622214268353076, -113.45638562915397 53.622211626445505, -113.4565598207077 53.62221255220929, -113.45674181247256 53.62221846166213, -113.45692845782229 53.622229810455075, -113.45710362812831 53.62224540127757, -113.4572748338881 53.62226535719423, -113.45743162671525 53.62228705370298, -113.45776917067326 53.622349481656435, -113.45794142869606 53.622390353391395, -113.45807478806168 53.6224251674953, -113.45822411076057 53.62246845283278, -113.45836483750824 53.62251366160895, -113.45849836796651 53.62256079120014, -113.45862560930325 53.6226098196742, -113.45875806547853 53.62266547174158, -113.45889391398124 53.62272749023612, -113.45906448403764 53.62280270044972, -113.45923082732394 53.62286358036635, -113.45934209649184 53.62289832919367, -113.45946943370815 53.6229330291678, -113.45961752199429 53.62296682435452, -113.45976856930969 53.62299499495418, -113.45991537510866 53.623016214496275, -113.46005226166177 53.62303182054725, -113.46024730231733 53.62304360369419, -113.46042531613601 53.62304696096532, -113.46070310418588 53.623046181134285))"
EB 132 Ave Btwn 113A - E of 109 St,Designated Zone - Playground;,4147,30,"MULTILINESTRING ((-113.51646672127059 53.59214244318722, -113.51580910990124 53.59213198423481, -113.51508172110306 53.592135549009114, -113.51433118747147 53.592124043066725, -113.51359418421988 53.59212885644483, -113.50841350782207 53.592103839209166, -113.50765835316349 53.59210011714285))"
WB 86 Ave btwn 64 - 68A St,Designated Zone - Playground;,4281,30,"MULTILINESTRING ((-113.42892300215978 53.52115256519372, -113.4305874369436 53.52115807803935, -113.43225187083316 53.5211635668103))"
75 St NB between 92A - 94B Ave,Higher Frequency of Collisions;,2610,60,"MULTILINESTRING ((-113.44287386782571 53.52777588476784, -113.44289342402952 53.53051003345574, -113.44290721654603 53.532314280320904))"
EB 110 Ave Btwn 161 - 159 St,Designated Zone - Playground;,4234,30,"MULTILINESTRING ((-113.59878117831019 53.55603932102269, -113.59800722496438 53.55604165213477, -113.59730928135497 53.556043749815714, -113.59657995765781 53.55604247928482, -113.59586624848284 53.55604123190364, -113.59515414445741 53.55603198100704, -113.59443334033652 53.55602261370087))"
NB Woodvale Rd E btwn Hillview Cres - S of 35 Ave,Designated Zone - Playground;,4037,30,"MULTILINESTRING ((-113.42618358419435 53.46760655128571, -113.42599731552528 53.46768046552919, -113.4258214512267 53.46776295913395, -113.4256569947113 53.467853439389124, -113.42550495496049 53.46795134955763, -113.42476973254007 53.46846379493406))"
EB McConachie Dr Btwn McConachie Way - 58 St,Designated Zone - Playground;,4138,30,"MULTILINESTRING ((-113.42488352261812 53.63250804968303, -113.42465570491701 53.63236009108411, -113.42446390760954 53.6322325091448, -113.42437101070901 53.63217147049852, -113.42421650019342 53.6320775067089, -113.42410838620975 53.632016781057494, -113.4239297980833 53.63192447757406, -113.42377933243509 53.63185522955216, -113.42362884520739 53.63178871025628, -113.42346232812321 53.63172278481611, -113.42328922488771 53.63166049546199, -113.4230625032189 53.63158775204046, -113.42286126411527 53.631530943552846))"
109 St NB between 108 – 110 Ave,Higher Frequency of Collisions;,2519,50,"MULTILINESTRING ((-113.50834586802017 53.552999806900864, -113.50835017643458 53.554588626820255, -113.50835166579974 53.55672522047212))"
Yellowhead Trail at 7710 Yellowhead Tr.,Higher Frequency of Speeding;,261,70,"MULTILINESTRING ((-113.45663551520377 53.58249002714783, -113.45679664775166 53.58251036889399, -113.45694638341315 53.58252239519762, -113.4571037176423 53.582530306970824, -113.45726069100961 53.58253539081288, -113.4574344860969 53.58253826290499, -113.45758651966409 53.58253984455145, -113.45775752132613 53.58253609792476, -113.46257538449876 53.582435963608795))"
SB Wanyandi Rd btwn Wolf Ridge Way - Wanyandi Way,Designated Zone - Playground;,4298,30,"MULTILINESTRING ((-113.60390986059002 53.499788013123734, -113.60390509957746 53.49975551821319, -113.60389893845695 53.49969214083949, -113.60389697689855 53.49964194102747, -113.60389380209914 53.49933739816452, -113.6038909167427 53.49849699176135, -113.60396345356344 53.49806497302262, -113.60410386966403 53.49763267402401))"
NB 118 St N of 145 - S of 152 Ave,Designated Zone - Playground;,4261,30,"MULTILINESTRING ((-113.52539257208262 53.60871316546399, -113.52538941266272 53.609044660804884, -113.52542861364596 53.60933794712174, -113.52556473458013 53.60974248568723, -113.5256491076697 53.609942119291844, -113.52614407190781 53.61111321011095, -113.52617326357627 53.61133828043791, -113.52615519111633 53.611644114883376, -113.52600490742343 53.611947119101266, -113.52567210569259 53.6123723287719, -113.52552692938751 53.6125578143942))"
NB 101 St between 107A - 108 Ave,Higher Frequency of Speeding; Higher Frequency of Collisions;,2721,50,"MULTILINESTRING ((-113.4937160444445 53.55140825867572, -113.49371735509159 53.55299727546846, -113.4937170497778 53.553157109012396))"
WB 92 Ave Btwn 159 St - E of 163 St,Designated Zone - Playground;,4243,30,"MULTILINESTRING ((-113.59452660879326 53.526683365874355, -113.59746416683348 53.5266958375596))"
EB Hermitage Rd Btwn Huffman Cres - Hunt Rd,Designated Zone - Playground;,4141,30,"MULTILINESTRING ((-113.39128925633597 53.58203256363446, -113.39122186778816 53.58200164859485, -113.39105657513792 53.58192244142212, -113.39079543184758 53.581785475525535, -113.39057815902999 53.58165936835111, -113.39032709295091 53.581500109055916, -113.39012367364582 53.581353074046696, -113.38993014856236 53.58120032731208, -113.38981792598548 53.58110583423192, -113.38943241946323 53.580780596972446, -113.3892653304167 53.58063926956481, -113.38905744056153 53.58047723830229, -113.3888156020301 53.58031487689383, -113.3887123893124 53.580252653486696, -113.38860949292517 53.58019427132524, -113.38841861538612 53.58009442993852, -113.38826332455716 53.58001914743979, -113.38810737877891 53.57995109152703, -113.3879456790398 53.57988637842107, -113.38777477659586 53.579826364411154, -113.38759608095684 53.57976473052508, -113.38745532568551 53.57972217471573, -113.38723349648122 53.579661961182865, -113.38713871785859 53.57963867103174))"
SB 103 St S of 164 - W of 161 Ave,Designated Zone - Playground;,4225,30,"MULTILINESTRING ((-113.50111405328417 53.62493844850806, -113.50107590839832 53.624617311843046, -113.5009487975153 53.62354712071907, -113.50089331132327 53.62325384605025, -113.50071933864083 53.62298101429957, -113.50043674477112 53.62272228614036, -113.50027911000889 53.62262030324675, -113.50008447721726 53.62251953328015))"
EB Kirkness Rd Btwn 31 St - 151 Ave,Designated Zone - Playground;,4226,30,"MULTILINESTRING ((-113.38776608814162 53.610340978926835, -113.38718378811699 53.610546755153074, -113.38686737014515 53.61065501755885, -113.38662666732799 53.610733352164075, -113.3859359884151 53.61094003064975, -113.38546661139279 53.61107377311558, -113.3852973641981 53.61112423086237, -113.38517229857948 53.611168492182856, -113.38501045956822 53.61122840936028, -113.38484540504471 53.61132176541795, -113.38471578615416 53.61140246159239, -113.38461297087619 53.61147794251302, -113.38453990501164 53.61154006953784, -113.38443933125146 53.61163925960767, -113.38438824171634 53.61169374288757, -113.38382539976683 53.6123754058177, -113.38333332163782 53.613074619032545, -113.38308484778503 53.61341864192011, -113.38280227296067 53.61383096142477))"
WB Kingsway Ave btwn Princess Eliz Ave-Airport Rd,Higher Frequency of Collisions;,2731,60,"MULTILINESTRING ((-113.51218959572753 53.56250514298855, -113.5129534690885 53.56282991130112, -113.51344898605244 53.563044864866, -113.51721036004793 53.56464429848101, -113.51797524146515 53.564961897385444, -113.51959183524257 53.56565102056729))"
Jasper Ave WB between 87 - 90 St,Higher Frequency of Speeding;,2501,50,"MULTILINESTRING ((-113.4723828630126 53.55375422817854, -113.4723861506253 53.553748693822506, -113.47255734585654 53.55327459149094, -113.47314218264391 53.55165488657642))"
SB Haddow Dr btwn Haliburton Rd - Hector Rd,Designated Zone - Playground;,4303,30,"MULTILINESTRING ((-113.59782581293771 53.45552904939641, -113.59789981015962 53.455437414607516, -113.59796443004785 53.45534328782346, -113.59804855878225 53.45518948160516, -113.59809219080299 53.45507384418954, -113.59812693494096 53.45493211355737, -113.59814227955056 53.45481502137448, -113.5981452559181 53.454679949522124, -113.59814427278484 53.45406772627202, -113.59814382500171 53.45403191332643))"
WB 121 Ave btwn W of 45 St - 48 St,Designated Zone - Playground;,4293,30,"MULTILINESTRING ((-113.41145731404349 53.57507886449775, -113.41147011274614 53.57507885287605, -113.41223845763697 53.575078154246896, -113.41300666307924 53.57507760006499, -113.41377493798454 53.5750770412905, -113.41454323833428 53.575075948431305, -113.41531188594828 53.57507484963934))"
SB 62 St btwn 106 Ave - Fulton Rd,Designated Zone - Playground;,4108,30,"MULTILINESTRING ((-113.42855755947274 53.54939244693098, -113.42852054479029 53.54927375151013, -113.42836842602351 53.548790477349684, -113.4278631667601 53.54718227157756, -113.4278278576294 53.54709401885121, -113.42780166074508 53.54704454670903, -113.42776872298091 53.546992587323714, -113.42773586489066 53.54694770211687, -113.42767507525367 53.54687827627053, -113.42760506683261 53.54681200260457, -113.42752629700271 53.54674931462186, -113.4274392807865 53.54669062183814, -113.42734458635145 53.54663630796393, -113.42724283505818 53.54658672731077, -113.42720671621012 53.54657053492591, -113.42638254835842 53.54620105089994))"
NB 106 St btwn 40 - 42 Ave,Designated Zone - Playground;,4053,30,"MULTILINESTRING ((-113.50623092475885 53.474953967980476, -113.50601428873237 53.47501303072734, -113.50474113017259 53.475963841140164, -113.5045886657891 53.47608901383502, -113.50448858768934 53.4761866158081, -113.50439299327947 53.47629650232884, -113.50429569019896 53.476434568410696, -113.50422277757274 53.47656942691119, -113.50416949710903 53.47670587199125, -113.5041279646612 53.476892513663536, -113.50411971169629 53.477030879854404, -113.50413548825885 53.478814540009836))"
NB 182 St N of 89 - 93 Ave,Designated Zone - Playground;,4142,30,"MULTILINESTRING ((-113.6384349609083 53.52468227624611, -113.6386456639113 53.52496160916003, -113.6389925148464 53.52559008015776, -113.63920350410591 53.526145640361825, -113.63929959410922 53.52716194970775, -113.63922703259787 53.52758099442584, -113.63914938797083 53.52786973054869, -113.6390471359581 53.52809762191597))"
SB 167 St S of 83 - 80 Ave,Designated Zone - Playground;,4044,30,"MULTILINESTRING ((-113.60968793276832 53.51650769691126, -113.6096935117447 53.51604449793082, -113.60968886201009 53.51598478418402, -113.60967016519592 53.51591654447865, -113.60936636306492 53.51512038722503, -113.60934733405715 53.51504443188037, -113.60934214304038 53.51497298420174, -113.60934565090238 53.514686828876826, -113.6093509269193 53.51425644749751, -113.60935598086073 53.513837904436166))"
Riverbend Rd NB between 43 - 45 Ave,Higher Frequency of Speeding;,2527,50,"MULTILINESTRING ((-113.58045106879855 53.47994830796978, -113.58042331471971 53.48000603143851, -113.58038680896645 53.480070102489876, -113.58010265090306 53.480691477320015, -113.57973611194623 53.48148019247423, -113.57875711591741 53.483534711898045, -113.57871107632883 53.48363263527751))"
EB Silver Berry Rd btwn 32 - 24 St,Designated Zone - Playground;,4296,30,"MULTILINESTRING ((-113.38570500553318 53.45729016353607, -113.3854970792152 53.457216481443666, -113.38524630140972 53.45715245883383, -113.38494894080313 53.45710604428431, -113.38461297996581 53.457087751966846, -113.38297954511418 53.457083847062435, -113.38232035975864 53.457082250961676, -113.37878924287004 53.45707359990736, -113.37860715480737 53.45707821731133, -113.37842526354939 53.457093068039946, -113.37823333425227 53.45712028697241, -113.37810068808199 53.457146791547814))"
SB Millbourne Rd E btwn Lee Ridge Rd - 36A Ave,Designated Zone - Playground;,4290,30,"MULTILINESTRING ((-113.44548003760431 53.47224487897706, -113.44425041018756 53.4714597872779, -113.44407468298355 53.4713380748719, -113.44391648155576 53.471208086646364, -113.44377689810767 53.471070717382226, -113.44365689158738 53.47092691335656, -113.44355728927995 53.47077766605738, -113.44347877788233 53.47062400405252, -113.44342189757984 53.4704669857713, -113.4433870406295 53.470307693206315, -113.44335414119053 53.47007938627939))"
WB Hermitage Rd Btwn 127 Ave - 40 St,Designated Zone - Playground;,4206,30,"MULTILINESTRING ((-113.40613735666221 53.58583773620227, -113.40618588105835 53.58587937278333, -113.40634913114482 53.58599116340709, -113.40646953569296 53.58608425709908, -113.4066526236328 53.58623637686637, -113.40686048059293 53.58641877340955, -113.40697328358532 53.586517800985604, -113.40711554995018 53.586644653083894, -113.40728068081056 53.586787657360695, -113.40749663508818 53.58697565610472, -113.40777508089444 53.58721965081688))"
91 St NB between Anthony Henday Dr - 23 Ave,Higher Frequency of Collisions;,2593,70,"MULTILINESTRING ((-113.46639323409626 53.44030138204022, -113.46641799588217 53.44203708730803, -113.46641030110821 53.442749237852716, -113.4663915915589 53.44350907097117, -113.4663784639618 53.444042243743034, -113.46637185603329 53.444310598841724, -113.46634106952582 53.44782198943939, -113.46633427397668 53.44932792003299, -113.46632292860996 53.4513139407864))"
NB Brintnell Blvd btwn 45 St - 157A Ave,Designated Zone - Playground;,4306,30,"MULTILINESTRING ((-113.408137275576 53.61878287100001, -113.40773224550047 53.61882241847054, -113.4074874197203 53.618858866825526, -113.40718800322668 53.61891656473787, -113.40685665358473 53.61899293279345, -113.40656598140693 53.61907219200782, -113.40632054931771 53.61915167581658, -113.40608397548769 53.61924465233043, -113.40591043361107 53.619312471508735, -113.4056116344971 53.61944579599499, -113.40531348125037 53.619596800081105, -113.40507609804543 53.61973195416829, -113.40485674704269 53.61987195999292))"
NB Capilano St Btwn 107 Ave - 65 St,Designated Zone - Playground;,4156,30,"MULTILINESTRING ((-113.42321109970683 53.55355688440666, -113.42504213002535 53.554984367227085, -113.42532340056086 53.55518266025237, -113.42603472243768 53.55568318705486, -113.42621610745357 53.55579541750153, -113.42631542064917 53.55584615629455, -113.42643418357969 53.55588729415145))"
SB Leger Way btwn Lawrence Court - Leger Road,Designated Zone - Playground;,4007,30,"MULTILINESTRING ((-113.57613834231668 53.460946496535314, -113.57610511177529 53.46088744148413, -113.57601293025863 53.460743022228606, -113.57590596673407 53.46059854953525, -113.57586244087236 53.46051605715266, -113.57583387512335 53.460415972741366, -113.57581516251882 53.460315924198895, -113.5758195100757 53.460006927195735, -113.57581964668941 53.4598660183349, -113.5758261264392 53.459710186294885, -113.5758522122044 53.45959161554933, -113.57592247842464 53.459409486508115, -113.57602120793509 53.459248449968825, -113.57613212500134 53.45911145847407, -113.57618275835517 53.45905982238244, -113.57624614760617 53.458995631186745, -113.57639539787277 53.45887931313465, -113.57652696598637 53.45879284878163, -113.57660999418769 53.45873818127678, -113.57669509506431 53.45866992866916, -113.57675977621862 53.458605898134, -113.57682155388645 53.45852858210202, -113.57687690385295 53.458432473990506, -113.57690302261356 53.4583650376675, -113.57691993482689 53.45829421692116))"
NB 59A St Btwn 159 - 162 Ave,Designated Zone - Playground;,4264,30,"MULTILINESTRING ((-113.43076764571771 53.61927264936438, -113.43073505879158 53.61942589132229, -113.4307130140452 53.62060476313969, -113.43071440671726 53.623301656919075))"
WB 57 Ave btwn W Entrance of Lessard Dr - 175 St,Designated Zone - Playground;,4283,30,"MULTILINESTRING ((-113.62212254068841 53.492902070339, -113.62251207682287 53.49289135061511, -113.62294697327752 53.492886125701745, -113.62334225880697 53.492896880976105, -113.62366329658846 53.49291737481022, -113.62431616864927 53.492988835837366, -113.62486566237138 53.49308390232304, -113.62516396541909 53.493144009419446, -113.62561082150165 53.49323934005405))"
WB 104 Ave btwn 159 - 161 St,Designated Zone - Playground;,4075,30,"MULTILINESTRING ((-113.59566982524639 53.54639697454361, -113.59655296466337 53.546404724846425, -113.59743658569136 53.54641247294431, -113.5983296118604 53.54641122059252, -113.59923199849672 53.546409948907694))"
EB 132 Ave btwn 137 - 135 St,Designated Zone - Playground;,4018,30,"MULTILINESTRING ((-113.55649479244019 53.592696622791905, -113.55631470322793 53.59269657880148, -113.55562063263365 53.59268541182832, -113.55527585907065 53.592683159576744, -113.5540295933373 53.592430354553166, -113.55368442288719 53.592344137230086, -113.55349344780029 53.592301148727515))"
SB 48 St btwn 32 - 28 Ave,Designated Zone - Playground;,4072,30,"MULTILINESTRING ((-113.41577558885535 53.463218565051584, -113.41585306401066 53.46296260803873, -113.41594748673914 53.46270868649948, -113.41606020639387 53.46245742613571, -113.41619101129177 53.46220930752092, -113.41650888793406 53.46163086507357, -113.41667554083529 53.461239529561, -113.41679791529128 53.46084241255454, -113.41687606948703 53.46043590382742, -113.4169078075356 53.46002716640578, -113.41692603387878 53.459340518688926))"
"Groat Rd NB, Victoria Pk Rd-S of 107 Ave",Higher Frequency of Speeding;,7063,50,"MULTILINESTRING ((-113.54061919956992 53.54070692346396, -113.540648687025 53.54072048157814, -113.5408558453258 53.54084811893853, -113.54099493512585 53.540976305240115, -113.54108408906897 53.54107880289819, -113.54116103557472 53.5411973844152, -113.54122506018128 53.54132599230842, -113.54126308276693 53.54149886698872, -113.54126106777811 53.54168524859292, -113.54122015392352 53.54185176749801, -113.5411434039866 53.541993057299216, -113.54107007165354 53.542096724117975, -113.54094535574636 53.5422217007511, -113.54059798331174 53.54252654310951, -113.54049263050082 53.542628585902605, -113.5403860614957 53.542744669936816, -113.54032621301431 53.542861865305625, -113.54028438342655 53.54296472086499, -113.54027765835194 53.54301870353749, -113.54027111998896 53.54307118626577, -113.54029541420772 53.54345462396027, -113.54030509387447 53.54355264534195, -113.54033114425793 53.54364773191573, -113.54036487209393 53.54379367726019, -113.54043055197671 53.54391515340893, -113.54053458147432 53.54403383843604, -113.54061787952227 53.54412197673134, -113.54074610836282 53.54423072435289, -113.54095522437005 53.54436880528494, -113.54110182638489 53.54444643265874, -113.54127520821187 53.544520723630725, -113.54172059117029 53.544662786000686, -113.54192081743054 53.54473795617947, -113.54210919869266 53.54484269939728, -113.54224555954575 53.54494724322109, -113.5423660611309 53.545088740397404, -113.54252313762662 53.54539537810991, -113.54258501858155 53.54551512936125, -113.54265085433185 53.54561276320808, -113.54275377608835 53.5457171785558, -113.54300471400977 53.545879703062134, -113.54307128868902 53.5459087296681, -113.5433060017378 53.54599057554244, -113.5435285150593 53.54605132561164, -113.54397515244804 53.54617334015009, -113.54417121478903 53.546255977771665, -113.54422664459312 53.54628496035484, -113.54446627582853 53.54646293231555, -113.54449931537792 53.54650068248338, -113.54484953752103 53.54710844143952, -113.54487888565039 53.54714396420038, -113.54566887630459 53.54777774534023, -113.54576624524019 53.547869002127605, -113.54578553952975 53.547887084216526, -113.54585406643335 53.54793816288494, -113.54611591174773 53.548149687705774, -113.5466565883581 53.54850504475934, -113.54751172673392 53.54890282071732))"
NB 113A St btwn 54 - 56 Ave,Designated Zone - Playground;,4085,30,"MULTILINESTRING ((-113.52175463197239 53.490625219237835, -113.52175208568597 53.491417173813474, -113.52177302318132 53.49163507115042, -113.52182752174679 53.491850893962024, -113.52191511582538 53.492062806281105, -113.52203509085876 53.49226900167135, -113.52209110947638 53.492353964372, -113.52312358804046 53.49391947441589))"
EB 162 Ave Btwn Hollick Kenyon R - W of 54 St,Designated Zone - Playground;,4239,30,"MULTILINESTRING ((-113.4233585938978 53.62363082589876, -113.42264043608502 53.62366599994553, -113.42230245516272 53.62367364271523, -113.42195797302722 53.62367940473145, -113.42179083230222 53.62367766113789, -113.42154516094583 53.623675523454025, -113.4212224687381 53.62366870142784, -113.42090267161404 53.62365743282379, -113.42065094273431 53.62364719913146, -113.42047364554423 53.62363590551985, -113.42013534694394 53.623613779252125, -113.41974216976342 53.62358029827614, -113.41936765051913 53.62353741468187, -113.41916543802768 53.623516442637055))"
WB 53 Ave btwn Whitemud Dr - Riverbend Rd,Designated Zone - Playground;,4004,30,"MULTILINESTRING ((-113.5736046362783 53.490469180284926, -113.57456950370711 53.490465824927476, -113.57481583330714 53.490461757292934, -113.57518202767577 53.49045099107677, -113.57547685668864 53.49043883445622, -113.57581024927823 53.49042040511352, -113.57606668871378 53.490403367050924, -113.57638926270366 53.49037837653833, -113.57677810276329 53.49034293897584, -113.57743321230609 53.490287254455204))"
176 Ave WB between 97 - 100 St,Higher Frequency of Collisions;,2649,50,"MULTILINESTRING ((-113.49246342202996 53.63850247698577, -113.49312719190776 53.63850227615749, -113.49332120161448 53.638503698560484, -113.49358389571734 53.63851035253488, -113.493808997414 53.63852039910675, -113.49410068694978 53.638539429468494, -113.4942677861896 53.63855341837552, -113.49443432225095 53.638569624180434, -113.49466416462546 53.638595748707544, -113.49491461756145 53.63862926346252, -113.4957193560921 53.6387455228686, -113.49606386650684 53.63880408319477, -113.49611901772066 53.63881345755174, -113.49619253359451 53.638825953579186, -113.4971697655782 53.638992056516194, -113.497344626185 53.63902065957957, -113.49752041293357 53.639047183350094, -113.49871251545488 53.63921954346614))"
SB 97 St Btwn 75 - N of 73 Ave,Designated Zone - Playground;,4209,30,"MULTILINESTRING ((-113.47977066226102 53.51136210273319, -113.47977282383229 53.51086087116409, -113.47977487082002 53.51038634564654, -113.47977512670296 53.509964764500175, -113.4797751294157 53.50995875732558))"
51 Ave WB between 114 - 116 St,Higher Frequency of Speeding;,2588,50,"MULTILINESTRING ((-113.53173992181593 53.48834114078883, -113.52877847740884 53.48833472031183, -113.52803880880603 53.488322486935395, -113.5273288152818 53.48832596258036, -113.52661396855628 53.488322804624836, -113.52588842219897 53.48832415949058, -113.52549425584169 53.488323639505886, -113.52477404263306 53.48831829976993, -113.52401500996662 53.488315594881776))"
SB Meadowlark Rd between 90 - 88A Ave,Higher Frequency of Speeding;,2797,50,"MULTILINESTRING ((-113.59206778358387 53.523557834594044, -113.59360838557522 53.52265231119584, -113.5947729789856 53.52196777565523, -113.59545520129477 53.521566756953526))"
NB 91 St Btwn 86 Ave - S of 88 Ave,Designated Zone - Playground;,4188,30,"MULTILINESTRING ((-113.46743724794327 53.5219419263299, -113.46744266049132 53.522947223936384, -113.46744296352644 53.52300373588131, -113.46744246667998 53.52317367611345))"
NB 135 St btwn 116 - Woodcroft Ave,Designated Zone - Playground;,4168,30,"MULTILINESTRING ((-113.55463882339825 53.566819471280304, -113.55465562342997 53.56709900775736, -113.55584990879683 53.56803153854731))"
EB 57 Ave btwn 175 St - W Entrance of Lessard Dr,Designated Zone - Playground;,4282,30,"MULTILINESTRING ((-113.62561082150165 53.49323934005405, -113.62516396541909 53.493144009419446, -113.62486566237138 53.49308390232304, -113.62431616864927 53.492988835837366, -113.62366329658846 53.49291737481022, -113.62334225880697 53.492896880976105, -113.62294697327752 53.492886125701745, -113.62251207682287 53.49289135061511, -113.62212254068841 53.492902070339))"
109 St SB between 110 - 108 Ave,Higher Frequency of Collisions;,2518,50,"MULTILINESTRING ((-113.5085260480169 53.552999501433646, -113.50852232958823 53.55458878707444, -113.50852249198275 53.55673111550348))"
107 Ave EB between 149 - 144 St,Higher Frequency of Collisions;,2566,60,"MULTILINESTRING ((-113.57723864243333 53.55100513356768, -113.57674582246634 53.551000863770916, -113.57541072528576 53.551016493976974, -113.57186476177098 53.551021433771474, -113.57037021206317 53.551023484462895, -113.56921791900452 53.55103206127288))"
WB 162 Ave Btwn 54 A - 55 A St,Designated Zone - Playground;,4238,30,"MULTILINESTRING ((-113.41936765051913 53.62353741468187, -113.41974216976342 53.62358029827614, -113.42013534694394 53.623613779252125, -113.42047364554423 53.62363590551985, -113.42065094273431 53.62364719913146, -113.42090267161404 53.62365743282379, -113.4212224687381 53.62366870142784, -113.42154516094583 53.623675523454025, -113.42179083230222 53.62367766113789, -113.42195797302722 53.62367940473145, -113.42230245516272 53.62367364271523, -113.42264043608502 53.62366599994553, -113.4233585938978 53.62363082589876))"
SB 106 St Btwn 60A - 56 Ave,Designated Zone - Playground;,4182,30,"MULTILINESTRING ((-113.50440753786819 53.49631308218295, -113.50440871931167 53.495626424846236, -113.50439799269613 53.49421822291803, -113.50437997788423 53.49383551995994, -113.50437503828242 53.493730577982454, -113.50435483189938 53.49324289048025))"
EB 40 Ave E of Granlea Crescent - 57 St,Designated Zone - Playground;,4042,30,"MULTILINESTRING ((-113.4277751552529 53.477525339605286, -113.4276103656554 53.477493116945304, -113.42711285787718 53.47737004115673, -113.42663253918371 53.47722468374759, -113.42597460489064 53.4770062497925, -113.4249702717148 53.47667279745892, -113.42456549306449 53.4765384014829, -113.42413065088348 53.47640415580757, -113.42368297544023 53.47628587613606))"
WB Stony Plain Rd between 178 - 182 St,Higher Frequency of Speeding;,7206,60,"MULTILINESTRING ((-113.62753473395688 53.54140345656793, -113.62874124898397 53.54140193779221, -113.63100511468797 53.54140026098738, -113.63277987841106 53.54139955838429, -113.63451661297728 53.5413681034375, -113.6363068347072 53.54135635108505))"
WB 64 Ave Btwn 172-177 St,Designated Zone - Playground;,4179,30,"MULTILINESTRING ((-113.62043776954724 53.50047400437177, -113.62055317716793 53.50048186959672, -113.62124839833159 53.50048222860903, -113.6219744488818 53.500465359600106, -113.62269626671488 53.50041574030602, -113.62340970606729 53.50033365608089, -113.62728045412446 53.49979395082))"
EB 114 Ave btwn 104 - 102 St,Designated Zone - Playground;,4052,30,"MULTILINESTRING ((-113.49923603691222 53.56423625251396, -113.49831609334443 53.56423534980108, -113.49739662229211 53.5642344410999, -113.49647665380397 53.564235001430795, -113.49555717137324 53.56423555404031))"
NB 142 St N of 80 - 85 Ave,Designated Zone - Playground;,4135,30,"MULTILINESTRING ((-113.5657003724988 53.51540872484998, -113.56569341809345 53.51732539996061))"
