location,reason,site_id,speed_limit,the_geom
EB Ellerslie Rd SW btwn 91 St - Summerside Dr SW,Higher Frequency of Collisions;,7211,60,"MULTILINESTRING ((-113.47317530212274 53.42486039234408, -113.47161650108032 53.424841988270444, -113.46748672175639 53.42483791337654, -113.46500282772864 53.42483989026923, -113.46297390017402 53.42483609158088))"
"Groat Rd SB, S of 107 Ave-Victioria Pk Rd",Higher Frequency of Speeding; Higher Frequency of Collisions;,7064,50,"MULTILINESTRING ((-113.5483176771554 53.549136049345776, -113.54825552077025 53.54910589666607, -113.54781443412439 53.54887427855907, -113.54699798129674 53.548532912542456, -113.54653770022016 53.54830691858797, -113.54621131656464 53.54809283326361, -113.54590159077635 53.54784306313435, -113.54545837000765 53.54748563871743, -113.54500922889764 53.5471152475849, -113.5449054213054 53.54697612157432, -113.54470189644478 53.54661426663306, -113.54462035264682 53.546490490508205, -113.54453824860822 53.54640053275369, -113.54446640012296 53.54633810214026, -113.54434438475333 53.54625382952549, -113.54420496698874 53.54617974886917, -113.5441139435063 53.54614072624905, -113.54392048430434 53.54607353638619, -113.54336904762094 53.54593453342511, -113.54317578651968 53.54586707712272, -113.54300576293527 53.54578232500512, -113.5428517502498 53.54567409953689, -113.54275535033374 53.54557111102154, -113.5426784746592 53.54546819079414, -113.54255684659731 53.54520736736669, -113.54246014421085 53.5450343801724, -113.54232733338503 53.54489101812001, -113.54213741385942 53.54474965953198, -113.54190873740943 53.5446518627521, -113.54157499854348 53.544532756956535, -113.54135252120486 53.54445208590539, -113.5411568197426 53.54436957888984, -113.54097544060146 53.544270936460336, -113.54080400150593 53.544162120236074, -113.54065829094907 53.5440332281297, -113.54055997262688 53.543912066146184, -113.54047610007467 53.54376836879682, -113.5404179085478 53.54354389523196, -113.54039205958507 53.543302069965165, -113.54037932457898 53.54308874833462, -113.54038978554912 53.54301938970174, -113.54039553445934 53.542981277929826, -113.54044452277085 53.542854141826226, -113.54052446555691 53.542745201755125, -113.54061911267611 53.54264196491086, -113.54097345247335 53.54232975466226, -113.54119887843731 53.542136776480326, -113.54129625406054 53.54198321540593, -113.54136174689295 53.5418276314463, -113.54139885289075 53.541641531783185, -113.54136367089758 53.54135443176633, -113.54128439014902 53.54119785762211, -113.54119774625947 53.541061129502694, -113.54109763575414 53.54093906241648, -113.54096414986127 53.54083028143908, -113.54082912729459 53.540728343537076, -113.54082902985456 53.54072828655118))"
118 Ave EB between 87 - 85 St,Higher Frequency of Collisions;,2529,50,"MULTILINESTRING ((-113.47479590401582 53.57038827809186, -113.47442721185372 53.570390198457744, -113.47405672558232 53.570389371771725, -113.47330710781573 53.570387688577355, -113.47264452930507 53.57038937673633, -113.47255676697175 53.57038867442107, -113.47180631195536 53.57039118536684, -113.47170916180667 53.5703911670473, -113.47105663877117 53.57039103790723, -113.47085644494344 53.57039099726728))"
NB 84 St between 102 - 105 Ave,Higher Frequency of Speeding;,2789,50,"MULTILINESTRING ((-113.4571336396033 53.54312166868808, -113.45713556736548 53.54473143784332, -113.4571355827658 53.54633876716663, -113.45713733815639 53.547943798144))"
EB 92 Ave E of 163 - 160 St,Designated Zone - Playground;,4242,30,"MULTILINESTRING ((-113.59746416683348 53.5266958375596, -113.59452660879326 53.526683365874355))"
WB 43 Ave W of 111 - 114 St,Designated Zone - Playground;,4027,30,"MULTILINESTRING ((-113.51750023002501 53.47812763371081, -113.5196878883679 53.478476263293885, -113.51999296490719 53.47852122882881, -113.5209144297141 53.478668871859576, -113.52377999588607 53.47912795896945, -113.52454278435113 53.47929813379891))"
WB 11A Ave btwn 56 - 60 St,Designated Zone - Playground;,4288,30,"MULTILINESTRING ((-113.42591945948087 53.4404611906676, -113.42759962719819 53.44046332029841, -113.42807694007533 53.44046392866037, -113.42855425448514 53.44046453512244, -113.43017696325089 53.44046658278204))"
NB 106 St btwn 36A - 40 Ave,Designated Zone - Playground;,4055,30,"MULTILINESTRING ((-113.50404645269218 53.47121228049233, -113.50405080288834 53.47272219053741, -113.50405462910558 53.47310608780133, -113.50405877070047 53.47319345090907, -113.50407067899394 53.47329740675421, -113.50410373122442 53.47347085907246, -113.50411757423407 53.473525408302216, -113.50413734953824 53.47357329018666, -113.50421447611674 53.473761756014035, -113.50431530297682 53.47390876651108, -113.50439645943905 53.47401273723681, -113.50449477701743 53.47411381633984, -113.50459832801086 53.474214732838824, -113.5047596610347 53.47434175613102, -113.50495375253385 53.474468232858904, -113.50503713102587 53.4745157022828, -113.50546145848304 53.474740699121945, -113.50572268695248 53.47487219525834, -113.50593412221858 53.47497492082625, -113.50601428873237 53.47501303072734))"
Whitemud Dr. at 111 St,Higher Frequency of Collisions;,316,80,"MULTILINESTRING ((-113.51009706541402 53.48221614219994, -113.51051582715087 53.482269298899396, -113.51186401196863 53.48242456432813, -113.5136795034451 53.482613734389965, -113.51592031351908 53.48282582541108, -113.51612094677927 53.482842317700175, -113.51732083035411 53.482927403665656, -113.51750597651247 53.48293576426482, -113.51846050674318 53.48300405856787, -113.51952233667066 53.48306827821056, -113.52073553481114 53.48312338062855, -113.52133168960937 53.48314048892954, -113.52201418086884 53.48316039277385, -113.52427359441104 53.48318309955214))"
WB 111 Ave between 116 - 119 St,Higher Frequency of Collisions;,2728,60,"MULTILINESTRING ((-113.52131825907094 53.55894054752705, -113.52159189004698 53.558940279064245, -113.52315430410154 53.55894073711213, -113.52572612037947 53.55894094976595, -113.52700134417996 53.558941035341796))"
